,chat_20240523_093213.txt,chat_20240523_093123.txt,chat_20240523_092005.txt
1. No Poverty,,,
2. Zero Hunger,,,
3. Good Health and Well-being,,,
4. Quality Education,,,
5. Gender Equality,,,
6. Clean Water and Sanitation,,,
7. Affordable and Clean Energy,1.0,1.0,1.0
8. Decent Work and Economic Growth,,,
"9. Industry, Innovation, and Infrastructure",2.0,2.0,2.0
10. Reduced Inequality,,,
11. Sustainable Cities and Communities,4.0,,
12. Responsible Consumption and Production,,4.0,3.0
13. Climate Action,3.0,3.0,4.0
14. Life Below Water,,,
15. Life on Land,,,
"16. Peace, Justice, and Strong Institutions",,,
17. Partnerships for the Goals,,,
